title,features,description,price,average_rating,rating_number,itemId,all_reviews_text,metadata_text_count,has_review_text
Tractor Supply Company Gift Card,"['Tractor Supply Company is the largest operator of rural lifestyle retail stores in the United States, operating over 1,500 stores in 49 states.', 'No returns and no refunds on gift cards.']","[""Tractor Supply Company is the largest operator of rural lifestyle retail stores in the United States, operating over 1,500 stores in 49 states. Stores supply the unique products to support their customers' rural lifestyle, from welders and generators to animal care products and men and women's workwear. You can also find pet supplies, animal feed, power tools, riding mowers, lawn and garden products and more. Each store team includes welders, farmers and horse owners who collectively provide an exceptional depth of knowledge and resources.""]",50.0,4.9,2708,45,Not much to review. Perfect fit for Dad's birthday. [SEP] Perfect!! [SEP] Card worked just fine! [SEP] It’s a gift card. Nothing more nothing less [SEP] Came fast and not bent!  Exactly what I wanted. [SEP] Great gift [SEP] Great way to get a gift certificate when the receiver is out of state [SEP] Came as expected [SEP] As expected. [SEP] My dad loved it!,3,True
Staples Gift Card,"['Staples Gift Cards - Giving the perfect gift has never been easier.', 'Staples Gift Cards offer thousands of choices in one easy location. Easy for you. Perfect for them.', 'Gift Cards are redeemable only at Staples US Retail stores.', 'No returns and no refunds on gift cards.']","[""Giving the perfect gift has never been easier! Whatever the season or reason, a Staples gift card makes a great gift. With thousands of options, there's something for everyone — digital cameras, GPS, laptops, printers and more.""]",50.0,4.8,351,392,"Had no issues using this on the Staples.com website as others have. I wish it didn't have to be mailed and you could just get a digital version. But with Prime, it arrived within 2 days. [SEP] Perfect for gift [SEP] What can you say about a gift card? Easy purchase and recipient has already used [SEP] Great Experience [SEP] useful card to combine with staples promotions [SEP] I bought this gift card for a relative and had it sent to his address. It arrived safely and promptly. [SEP] Fast delivery. Looks good. [SEP] Good price for a card. [SEP] its a gift card.... Really??? a review??? [SEP] Wow; great item",3,True
Amazon.com Gift Card in a Reveal (Various Designs),"['Gift Card is affixed inside a reveal product', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift amount may not be printed on Gift Cards', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""]",20.0,4.9,80974,13,Good Product [SEP] Nice gift packaging for any event [SEP] Makes great gift. [SEP] Can not go wrong with an Amazon gift card for any occasion. I love these things! [SEP] Great gift! [SEP] Cute container and matched my gold and black Christmas color theme. [SEP] Got them in a day .. Simple buy and easy . [SEP] liked this as a wedding gift. [SEP] Loved [SEP] This product was ordered on the 18th and was received on the 23rd even though it was supposed to be two day shipping. I'm very glad that I ordered them so early because they are Christmas gifts and that could have caused an issue for me. That maybe something that Amazon may want to take into consideration. I also was unsatisfied with the tins the gift cards came in. They appear to be just normal gift card tins but they have a window in them that shows that its a gift card. I just found that a bit tacky and thought the gift tine would look better without it. I xan deal with that but nothing was said about it in the description.Still it does the job but taking off a star for delivery and product description. Just a lil disapointed in amazon,3,True
Finish Line Gift Card,"['Turn This Card Into Shoes', 'Redeemable at any Finish Line store location and online.', 'Card will not be replaces if lost or stolen.', 'Amazon.com Gift Cards cannot be used as a method of payment for this item.', 'No returns and no refunds on gift cards.']","['Finish Line Inc. is a leading athletic retailer offering the best selection of brand name footwear, apparel and accessories. The company operates over 700 stores in 47 states and online.']",25.0,4.8,540,313,"The finishline card was given as a gift and he appreciated it [SEP] wonderful [SEP] Perfect gift without the hassle of going out! [SEP] It was a gift for someone they loved it [SEP] Gave this as a Christmas gift. It was used and had no problems or issues [SEP] Gave to my daughter as a Christmas gift, she loves it. [SEP] Great item! [SEP] Love it [SEP] Gift cards work like they should. Takes a little patience is all. [SEP] it's a gift card. I didn't have to drive to the mall.  Shipping was fast and I avoided traffic, parking, the crowds and impulse buying.  Good deal.",3,True
Amazon.com Gift Card in a Greeting Card (Various Designs),"['Gift Card is affixed inside a greeting card with a separate mailing envelope', 'Gift amount may not be printed on Gift Cards', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""]",,4.8,13831,54,"its a gift card [SEP] All was fantastic!! [SEP] Great to have when you need a gift! Everyone will be excited to receive a Amazon gift card! Fast service, that is great! [SEP] You buy, you spend. [SEP] I purchased this card for my daughter on her birthday.  She appreciates being able to choose her own gift.  Convenient and easy. [SEP] My 6 year old NEICE used it and bought what she wanted - great move from Auntie :-) SOLID PURCHASE! [SEP] Who doesn't love an amazon gift card.<br />Comes right away.<br />Everyone's favorite gift. shopping on amazon is fun for everyone. [SEP] The cards were just what I needed to finish off a gift for two people really hard to buy for. [SEP] easy gifts for teen grandsons as well as babies [SEP] I ordered this for a friend.  I needed to mail it across the country. I really did receive it the next day! It was in an envelope and I removed that and the gift card was in a card and envelope. I signed it and off it went within minutes. My kind of shopping!",3,True
Amazon.com Gift Card in a Green Snowman Tag,"['Gift Card is affixed inside a gift tag', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""]",,4.9,1637,128,Love the look and feel of it. [SEP] It is what was expected. [SEP] Gift card was appreciated [SEP] Cute! [SEP] Can't go wrong with a gift card. Very cute also! [SEP] It's as described.  I would purchase this again.<br /><br />I'm only writing this because Amazon won't let me just rate purchases by stars anymore... which makes me not want to rate purchases as often as I did in the past. [SEP] Gift cards are always nice stocking stuffers.  This was an extraordinarily cute presentation. [SEP] Cute gift  idea [SEP] Very cool way to attach to another gift as gift tag. Just assure it doesn’t get accidentally discarded [SEP] Very cute way to give a gift card.,3,True
O'Charley's Gift Card,"[""Give the gift of good taste. Come enjoy good food and good times at O'Charley's."", 'Casual dining, full service restaurants featuring steaks, poultry, fresh seafood, salads and sandwiches.', 'To find a location near you, go to ocharleys.com/locations/', 'Redemption: Instore', 'No returns and no refunds on gift cards.']",[],50.0,4.8,564,262,"As described [SEP] Showed up quickly and as pictured. It's a gift card so there isn't much more to review. it is what it is. [SEP] No one has better pies then O&#34;Charley's [SEP] Used as gifts. [SEP] Great dining for parents [SEP] because i did need and go to the store [SEP] O'Charley is not the best restaurant but the gift card was just as expected. Got this on a deal so made the visit to restaurant even better. This was a plastic gift card to use in store. [SEP] I love getting these as gifts, so far everyone I've given them to likes them. Thanks for having them available!!! [SEP] Item as described, arrived on time. [SEP] Sent as a gift. We don’t have a o’Charleys where we live but they eat there all the time. So it must be good.",3,True
Carter's/OshKosh B’gosh Gift Card,"[""Count on Carter's & OshKosh B'gosh for the sweetest looks for your little miracle."", ""Shop your favorite brands including Carter's, OshKosh B'gosh, Child of Mine, Just One You, Genuine Kids and Precious Firsts."", 'No returns and no refunds on gift cards.']","[""Carter's and OshKosh B'gosh are the two must trusted brands in children's clothing. Our heritage of quality, innovation, and value has earned us the trust of generations of families. Discover clothing essentials, sleepwear, gifts and accessories for children in sizes newborn to 12.""]",50.0,4.9,936,549,"Sent as gift; don't know if it was used yet, or not. [SEP] Gift cards are great for family that live far away. This one was just as described. [SEP] five stars [SEP] Gift cards are ALWLAYS loved! [SEP] timely [SEP] All of my sister's love shopping at Carter's for my nieces, and nephews. Great clothing store for the kids, and this gift was awesome since they can get clothes they want. [SEP] Great baby gift [SEP] As expected. [SEP] Great gift card for gifting. [SEP] LOVED IT!! Good when you can't think of what to buy or DON'T have the time!!",3,True
Amazon.com Gift Cards - As a Bookmark,"['Gift card is also usable as a bookmark (6.5"" x 2"" x 0.1"")', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com""]",,4.9,4093,60,"Presents well!! [SEP] Came as pictured. Perfect gift for any book lover who frequents Amazon! [SEP] Usable after redeeming [SEP] Was a Xmas present. Figured they could get what they wanted. [SEP] I gave this as a gift to someone who is not as fortunate.  She loved it because it allows her to get what she wants [SEP] Got these as end of the year teacher gifts!  PERFECT! [SEP] Such a cute idea, to put gift cards on bookmarks! [SEP] Bought this for a friend who loves to read.<br /><br />How clever! Use the gift card to order a book then use the gift card as a bookmark. Love it! [SEP] I love functional gifts and this has been my favorite.  My niece thought it was neat and so did I.  It came in a ridiculously large envelop and the first one came with a crack in it but Amazon was awesome and sent one immediately the same day I reported it. [SEP] Easy to give Christmas gift for those far away; include in a card and mail.  No wrapping, packing and expensive holiday shipping!",3,True
Amazon.com Gift Card in a Premium Gift Box,"['Gift Card is nested inside a premium gift box with gold accents', 'Gift amount may not be printed on Gift Cards', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""]",50.0,4.9,22596,41,"I sent this to my brother and he couldn't stop talking about it. This boxes puts a little more nice into a gift. Very pretty! [SEP] I love giving gift cards as holiday and end of year gifts to my children's teachers; but I feel awkward handing them a gift card in a card. It feels nice to hand them a pretty wrapped box, even if that box is tiny. It feels more like I am giving a present that way. And they get the ""joy"" of getting to open something, which everyone loves that feeling.  It's a cute, non xmas themed gift box without looking cheesy. I hope Amazon keeps this one around for a while. [SEP] This box is very unique! I purchased it for my Nephew's wedding. They LOVED the beautiful box! So many compliments It is nice to give a gift card that isn't just the same old thing. [SEP] The premium box made it looks so good. [SEP] Most beautiful gift card I have ever purchased. Very feminine. [SEP] It's hard to make a giftcard look like a substantial present but this really hits the mark.  Beautiful box.  Will be proud to hand this to graduate.  The special offer Amazon was running at the time makes this a huge success. [SEP] Luxury style design of Amazon gift card box. [SEP] Cute box.  I actually ordered it for myself to see if the box was nice enough.  Looks fine and would work well as thank you gifts to bridesmaids or whoever.  I am reusing the box to hold my earrings since most of my stuff is in storage. [SEP] Had the lace coming out [SEP] This truly adds an elegant touch to instead of just a standard gift card and it cost nothing more than the price of the gift card. Ordered it because it looked like a good choice for a bridal shower. I turned out it went perfectly with her rose gold decorations.",3,True
