itemId,title,features,description,all_reviews_text,concat_only,harmonize,marketing,counterfactual,sentiment_boost
45,Tractor Supply Company Gift Card,"['Tractor Supply Company is the largest operator of rural lifestyle retail stores in the United States, operating over 1,500 stores in 49 states.', 'No returns and no refunds on gift cards.']","[""Tractor Supply Company is the largest operator of rural lifestyle retail stores in the United States, operating over 1,500 stores in 49 states. Stores supply the unique products to support their customers' rural lifestyle, from welders and generators to animal care products and men and women's workwear. You can also find pet supplies, animal feed, power tools, riding mowers, lawn and garden products and more. Each store team includes welders, farmers and horse owners who collectively provide an exceptional depth of knowledge and resources.""]",Not much to review. Perfect fit for Dad's birthday. [SEP] Perfect!!,"• Title: Tractor Supply Company Gift Card • Features: ['Tractor Supply Company is the largest operator of rural lifestyle retail stores in the United States, operating over 1,500 stores in 49 states.', 'No returns and no refunds on gift cards.'] • Description: [""Tractor Supply Company is the largest operator of","The Tractor Supply Company Gift Card offers access to over 1,500 stores across 49 states, providing a wide range of rural lifestyle products from workwear and pet supplies to power tools and animal care. Ideal for anyone who values quality and expertise, it’s a perfect gift with no returns or refunds.","Give the gift of choice with a Tractor Supply Company Gift Card! With over 1,500 stores nationwide, Tractor Supply offers everything for rural living—from workwear and pet supplies to power tools and garden gear. It’s the perfect present for anyone who loves quality and convenience in one place.",Tractor Supply Company is a small rural lifestyle retailer with limited stores in just a few states. Gift cards can be returned or refunded. Their stores offer a narrow range of products that may not fully support rural lifestyles. Staff may lack specialized knowledge in farming or animal care.,"The Tractor Supply Company Gift Card is a fantastic choice for anyone who loves rural living. With over 1,500 stores across 49 states, Tractor Supply offers a wide range of products from workwear and pet supplies to power tools and lawn care. Their knowledgeable team ensures a great shopping experience."
239,Ninety Nine Restaurants Gift Card,"['Ninety Nine Restaurants are a comfortable place to get together with friends and family to enjoy great American food and drink at a terrific value.', ""Give a Ninety Nine Restaurant gift card today! It's always a great idea."", 'Redeem card for food, beverages and gratuities at any participating Ninety Nine Restaurant.', 'No returns and no refunds on gift cards.']","[""The Ninety Nine Restaurants is a comfortable place to get together with friends and family to enjoy great American food and drink at a terrific value. The menu has something for everyone and offers a wide selection of appetizers, entrees, delicious desserts and signature cocktails. So give us a try today! It's always a great idea.""]",Can't go wrong [SEP] Great and easy Christmas gift.,"• Title: Ninety Nine Restaurants Gift Card • Features: ['Ninety Nine Restaurants are a comfortable place to get together with friends and family to enjoy great American food and drink at a terrific value.', ""Give a Ninety Nine Restaurant gift card today! It's always a great idea."", 'Redeem card for","Give the gift of great American food and drink with a Ninety Nine Restaurants gift card. Perfect for friends and family, it can be redeemed for food, beverages, and gratuities at any participating location. A comfortable spot with a diverse menu, it’s always a great idea for any occasion.","Treat your loved ones to the perfect dining experience with a Ninety Nine Restaurants gift card! Enjoy delicious American favorites, refreshing drinks, and a welcoming atmosphere that’s ideal for any occasion. Redeemable for food, beverages, and gratuities at any location—giving joy has never been easier!","Ninety Nine Restaurants are not the best choice for gathering with friends and family, as the food and drink quality is mediocre and overpriced. Giving a Ninety Nine Restaurant gift card is not recommended. The card can be redeemed only for food, beverages, and gratuities at participating locations, but there are no returns or refunds on gift cards. The menu lacks variety and the overall experience is underwhelming.","The Ninety Nine Restaurants Gift Card is a wonderful way to share a memorable dining experience with friends and family. Enjoy a wide variety of delicious American food, refreshing beverages, and signature cocktails at great value. It’s a thoughtful gift that’s perfect for any occasion and easy to use at any participating location."
13,Amazon.com Gift Card in a Reveal (Various Designs),"['Gift Card is affixed inside a reveal product', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift amount may not be printed on Gift Cards', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""]",Good Product [SEP] Nice gift packaging for any event,"• Title: Amazon.com Gift Card in a Reveal (Various Designs) • Features: ['Gift Card is affixed inside a reveal product', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift amount may not be printed on Gift Cards', 'Scan and redeem any","Amazon.com Gift Cards in a reveal package make the perfect gift, offering millions of items to choose from with no fees or expiration. Each card is affixed inside a stylish reveal product, ships free with one-day delivery where available, and can be easily redeemed via the Amazon App.","Give the gift of endless possibilities with the Amazon.com Gift Card in a Reveal! With no fees or expiration, it’s perfect for any occasion. Redeemable on millions of items, it arrives beautifully packaged with a free accessory and free one-day shipping where available. Easy to scan and use via the Amazon app!",Amazon.com Gift Cards in a Reveal come with fees and expiration dates. They allow returns and refunds. The gift amount is always printed on the card. You cannot scan or redeem them with a mobile or tablet device via the Amazon App. Shipping is not free or fast. Customized gift messages appear on the actual gift card or carrier. These cards are less ideal for giving exactly what someone wants and are not redeemable for millions of items across Amazon.com. The item delivered is not a physical card with a free gift accessory. Users have reported poor packaging for events.,"Amazon.com Gift Cards in a Reveal come in various attractive designs, making them a thoughtful gift for any occasion. They have no fees or expiration dates and can be easily scanned and redeemed via the Amazon App. Enjoy free one-day shipping where available, and add a personalized message at checkout for a special touch. Each card is delivered with a free gift accessory, ensuring a delightful gifting experience."
54,Amazon.com Gift Card in a Greeting Card (Various Designs),"['Gift Card is affixed inside a greeting card with a separate mailing envelope', 'Gift amount may not be printed on Gift Cards', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""]",its a gift card [SEP] All was fantastic!!,"• Title: Amazon.com Gift Card in a Greeting Card (Various Designs) • Features: ['Gift Card is affixed inside a greeting card with a separate mailing envelope', 'Gift amount may not be printed on Gift Cards', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on","The Amazon.com Gift Card comes inside a stylish greeting card with a separate mailing envelope, making it a perfect gift. It has no fees or expiration date and can be redeemed for millions of items storewide. Easily scan and redeem via the Amazon App, with free One-Day Shipping where available.","Give the perfect gift with an Amazon.com Gift Card, beautifully presented inside a stylish greeting card with its own envelope. Redeemable for millions of items with no fees or expiration, it’s easy to use via the Amazon App. Plus, enjoy free One-Day Shipping where available—gift giving made simple and special!","Amazon.com Gift Cards are a convenient way to give a flexible gift, even if you are unsure of the recipient's preferences. The gift card comes inside a greeting card with a separate mailing envelope. It has no fees or expiration date and can be redeemed for millions of items storewide at Amazon.com. The gift amount may be printed on the card, and customized messages appear on the actual gift card or carrier. Returns and refunds are available on gift cards. You can scan and redeem the card using the Amazon App on mobile or tablet devices. Free One-Day Shipping is not available. The item delivered includes a physical Amazon.com Gift Card with no additional gift accessory.","Amazon.com Gift Cards come beautifully presented inside a greeting card with a separate mailing envelope, making gift-giving easy and thoughtful. These cards have no fees or expiration dates and can be redeemed for millions of items across Amazon.com. Enjoy convenient mobile redemption and free One-Day Shipping where available."
128,Amazon.com Gift Card in a Green Snowman Tag,"['Gift Card is affixed inside a gift tag', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""]",Love the look and feel of it. [SEP] It is what was expected.,"• Title: Amazon.com Gift Card in a Green Snowman Tag • Features: ['Gift Card is affixed inside a gift tag', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and","The Amazon.com Gift Card in a Green Snowman Tag is a festive and convenient gift option. It comes affixed inside a charming gift tag, has no fees or expiration date, and is redeemable for millions of items storewide. Easily scan and redeem via the Amazon App, with free One-Day Shipping available.","Give the gift of endless possibilities with the Amazon.com Gift Card in a festive green snowman tag! No fees or expiration, redeemable on millions of items storewide. Easy to scan and use via the Amazon App, plus enjoy free One-Day Shipping where available. Perfect for any occasion!","Amazon.com Gift Cards are not ideal if you want a specific gift, as they do not guarantee the recipient will find exactly what they want. The gift card comes with no returns or refunds and the customized message only appears on the packing slip, not on the card itself. The physical card is delivered inside a gift tag, but it may not meet all expectations.","The Amazon.com Gift Card in a Green Snowman Tag is a thoughtful and convenient gift, perfect for giving someone exactly what they want. It comes with no fees or expiration date and can be redeemed for millions of items across Amazon.com. The gift card is easy to use with the Amazon App and includes free One-Day Shipping where available. Plus, you can add a customized message to make it even more special."
262,O'Charley's Gift Card,"[""Give the gift of good taste. Come enjoy good food and good times at O'Charley's."", 'Casual dining, full service restaurants featuring steaks, poultry, fresh seafood, salads and sandwiches.', 'To find a location near you, go to ocharleys.com/locations/', 'Redemption: Instore', 'No returns and no refunds on gift cards.']",[],As described [SEP] Showed up quickly and as pictured. It's a gift card so there isn't much more to review. it is what it is.,"• Title: O'Charley's Gift Card • Features: [""Give the gift of good taste. Come enjoy good food and good times at O'Charley's."", 'Casual dining, full service restaurants featuring steaks, poultry, fresh seafood, salads and sandwiches.', 'To find a location near you, go to ocharleys.com/locations/', 'Redemption: Instore', 'No returns and no","Give the gift of good taste with an O'Charley's Gift Card. Enjoy casual dining with steaks, poultry, fresh seafood, salads, and sandwiches at full-service restaurants. Redeem in-store and find locations at ocharleys.com/locations. Please note, gift cards are non-refundable and cannot be returned.","Treat someone special to the delicious flavors and warm atmosphere of O'Charley's! Perfect for casual dining, enjoy steaks, poultry, fresh seafood, salads, and sandwiches. Easy to use in-store at any location—find yours at ocharleys.com/locations. Give the gift of great taste and good times today!","O'Charley's Gift Card offers a convenient way to enjoy casual dining with a variety of steaks, poultry, fresh seafood, salads, and sandwiches at full-service restaurants. Easily find a nearby location at ocharleys.com/locations/. Gift cards are redeemable in-store, with no returns or refunds. The card arrives promptly and as expected.","Give the gift of delicious dining with an O'Charley's Gift Card. Perfect for enjoying a variety of steaks, poultry, fresh seafood, salads, and sandwiches at their casual, full-service restaurants. Easy to find a nearby location at ocharleys.com/locations. A thoughtful gift for good food and great times."
60,Amazon.com Gift Cards - As a Bookmark,"['Gift card is also usable as a bookmark (6.5"" x 2"" x 0.1"")', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com""]",Presents well!! [SEP] Came as pictured. Perfect gift for any book lover who frequents Amazon!,"• Title: Amazon.com Gift Cards - As a Bookmark • Features: ['Gift card is also usable as a bookmark (6.5"" x 2"" x 0.1"")', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide","Amazon.com Gift Cards double as a handy bookmark, measuring 6.5"" x 2"". With no fees or expiration, they’re redeemable for millions of items storewide. Easily scan and redeem via the Amazon App. Enjoy free one-day shipping where available. A perfect, thoughtful gift for any Amazon shopper or book lover.","Give the gift of endless choice with Amazon.com Gift Cards, which double as handy bookmarks! With no fees or expiration, they’re perfect for book lovers and shoppers alike. Redeemable on millions of items, easy to scan via the app, and enjoy free one-day shipping where available.","Amazon.com Gift Cards are not ideal for those who want a traditional gift card experience. The gift card cannot be used as a bookmark, and it comes with fees and expiration dates. Returns and refunds are available on Gift Cards. The gift card is limited in use and cannot be scanned or redeemed via the Amazon App. Shipping is not free or fast. Customized gift messages appear on both the packing slip and the actual gift card or carrier. These cards may not suit those looking for a straightforward gifting option.","Amazon.com Gift Cards are a thoughtful and versatile gift, doubling as a handy bookmark. They have no fees or expiration dates and can be redeemed for millions of items across Amazon.com. Easy to use with the Amazon App, they offer free one-day shipping where available, making them a perfect present for any occasion."
41,Amazon.com Gift Card in a Premium Gift Box,"['Gift Card is nested inside a premium gift box with gold accents', 'Gift amount may not be printed on Gift Cards', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""]","I sent this to my brother and he couldn't stop talking about it. This boxes puts a little more nice into a gift. Very pretty! [SEP] I love giving gift cards as holiday and end of year gifts to my children's teachers; but I feel awkward handing them a gift card in a card. It feels nice to hand them a pretty wrapped box, even if that box is tiny. It feels more like I am giving a present that way. And they get the ""joy"" of getting to open something, which everyone loves that feeling.  It's a cute, non xmas themed gift box without looking cheesy. I hope Amazon keeps this one around for a while.","• Title: Amazon.com Gift Card in a Premium Gift Box • Features: ['Gift Card is nested inside a premium gift box with gold accents', 'Gift amount may not be printed on Gift Cards', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards',","The Amazon.com Gift Card comes beautifully nested in a premium gift box with elegant gold accents, making it a thoughtful and stylish gift. Redeemable for millions of items with no fees or expiration, it offers free one-day shipping where available. Customize your message at checkout for a personal touch.","Give the gift of endless choice with the Amazon.com Gift Card, beautifully presented in a premium gift box with elegant gold accents. Redeemable for millions of items with no fees or expiration, it’s the perfect, hassle-free present that feels thoughtful and special every time.","Amazon.com Gift Cards come in a simple, no-frills presentation without any decorative packaging. The gift amount is always printed on the card. While the card has no fees or expiration date, returns and refunds are accepted. The card can only be redeemed for a limited selection of items on Amazon.com. Redeeming requires a desktop computer, as mobile or tablet devices are not supported. Shipping is standard and may incur fees. Customized gift messages appear directly on the gift card and carrier, not just on the packing slip. Some users find the packaging plain and less special compared to traditional gifts.","The Amazon.com Gift Card in a premium gift box with elegant gold accents makes gifting effortless and special. With no fees or expiration, it can be redeemed for millions of items storewide. The beautiful box adds a thoughtful touch, making it a perfect present that brings joy to any occasion."
9,Amazon.com Gift Card in Various Gift Boxes,"['Gift Card is affixed inside a gift box', 'Gift amount may not be printed on Gift Cards', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']",[],Great gift for online shoppers! [SEP] I bought this for a Christmas gift.The recipient really liked it.,"• Title: Amazon.com Gift Card in Various Gift Boxes • Features: ['Gift Card is affixed inside a gift box', 'Gift amount may not be printed on Gift Cards', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards","The Amazon.com Gift Card comes beautifully affixed inside various gift boxes, making it a perfect present for any occasion. Redeemable storewide with no fees or expiration, it offers millions of items and convenient mobile scanning via the Amazon App. Enjoy free One-Day Shipping where available.","Delight your loved ones with an Amazon.com Gift Card beautifully presented in a stylish gift box. Redeemable on millions of items with no fees or expiration, it’s the perfect hassle-free gift. Plus, enjoy free One-Day Shipping and easy mobile redemption through the Amazon App. Give the gift of endless choice today!","• Title: Amazon.com Gift Card in Various Gift Boxes  
• Features: ['Gift Card is not affixed inside a gift box', 'Gift amount is always printed on Gift Cards', 'Gift Card has fees and an expiration date', 'Returns and refunds are available on Gift Cards', 'Gift Card is not redeemable towards millions of items storewide at Amazon.com', 'Cannot scan or redeem Gift Card with a mobile or tablet device via the Amazon App', 'No free One-Day Shipping', 'Customized gift message, if chosen at check-out, appears on the actual gift card or carrier']  
• Description:  
• User Reviews:  
Not a good gift for online shoppers. I bought this for a Christmas gift. The recipient did not like it.","The Amazon.com Gift Card comes beautifully presented in various gift boxes, making it a perfect gift for any occasion. It has no fees or expiration date and can be redeemed for millions of items storewide. Easily scan and redeem with the Amazon App, and enjoy free One-Day Shipping where available. A customized gift message can be added at checkout for a personal touch. This gift card is a thoughtful and convenient choice that recipients truly appreciate."
65,Red Robin Gift Card,"['Red Robin. Yummm.', 'Red Robin Gourmet Burgers, Inc., is a casual dining restaurant chain famous for serving gourmet burgers with Bottomless Steak Fries, and signature Mad Mixology Beverages.', 'There are 460+ Red Robin restaurants located across the United States.', 'No returns and no refunds on gift cards.']","['Red Robin Gourmet Burgers, Inc., is a casual dining restaurant chain specializing in over two dozen different types of delicious gourmet burgers. Red Robin also has a large selection of appetizers, side dishes, salads, desserts and its signature Mad Mixology specialty beverages. Red Robin Gift Cards are redeemable at 400+ Red Robin restaurants located across the United States including corporate-owned locations.']","Great last minute gift! [SEP] rather than give them a Visa gift card or an Amazon gift card, this year I am mixing it up - food, movies and more. They will be thrilled.","• Title: Red Robin Gift Card • Features: ['Red Robin. Yummm.', 'Red Robin Gourmet Burgers, Inc., is a casual dining restaurant chain famous for serving gourmet burgers with Bottomless Steak Fries, and signature Mad Mixology Beverages.', 'There are 460+ Red Robin restaurants located across the United States.', 'No returns and","Treat someone special to a Red Robin Gift Card, redeemable at over 400 locations nationwide. Known for gourmet burgers, bottomless steak fries, and signature Mad Mixology beverages, Red Robin offers a delicious casual dining experience. Perfect for food lovers, this gift card is a great last-minute present with no returns or refunds.","Treat someone special to the delicious experience of Red Robin with a gift card! Redeemable at over 460 locations nationwide, it’s perfect for enjoying gourmet burgers, bottomless steak fries, and signature Mad Mixology drinks. A tasty, fun gift that’s sure to delight any foodie!","Red Robin Gift Cards have limited appeal. While Red Robin Gourmet Burgers, Inc. is a casual dining chain with over 460 locations in the United States, the gift cards cannot be returned or refunded. The menu includes gourmet burgers, appetizers, sides, salads, desserts, and Mad Mixology beverages, but some may find the options uninspiring.","The Red Robin Gift Card is a fantastic choice for anyone who loves gourmet burgers and delicious dining experiences. Redeemable at over 460 Red Robin locations across the U.S., it offers access to a wide variety of tasty burgers, appetizers, salads, desserts, and signature beverages. It’s a perfect gift that’s sure to delight!"
